x-axis,1,3;;x-axis;1.00000;3.00000
second,Volt,Volt;;second;Volt;Volt
-261.9000E-03,+30.6534E-03,+91.4575E-03;;-0.26190;0.03065;0.09146
-261.8000E-03,+30.6534E-03,+51.2565E-03;;-0.26180;0.03065;0.05126
-261.7000E-03,+30.6534E-03,+51.2565E-03;;-0.26170;0.03065;0.05126
-261.6000E-03,+70.8544E-03,+51.2565E-03;;-0.26160;0.07085;0.05126
-261.5000E-03,+70.8544E-03,+11.0555E-03;;-0.26150;0.07085;0.01106
-261.4000E-03,-9.5476E-03,+51.2565E-03;;-0.26140;-0.00955;0.05126
-261.3000E-03,-9.5476E-03,+51.2565E-03;;-0.26130;-0.00955;0.05126
-261.2000E-03,+70.8544E-03,+51.2565E-03;;-0.26120;0.07085;0.05126
-261.1000E-03,+70.8544E-03,+51.2565E-03;;-0.26110;0.07085;0.05126
-261.0000E-03,+30.6534E-03,-29.1455E-03;;-0.26100;0.03065;-0.02915
-260.9000E-03,+30.6534E-03,+11.0555E-03;;-0.26090;0.03065;0.01106
-260.8000E-03,+30.6534E-03,+51.2565E-03;;-0.26080;0.03065;0.05126
-260.7000E-03,+30.6534E-03,-29.1455E-03;;-0.26070;0.03065;-0.02915
-260.6000E-03,-9.5476E-03,+11.0555E-03;;-0.26060;-0.00955;0.01106
-260.5000E-03,+30.6534E-03,+51.2565E-03;;-0.26050;0.03065;0.05126
-260.4000E-03,+70.8544E-03,+11.0555E-03;;-0.26040;0.07085;0.01106
-260.3000E-03,+30.6534E-03,+11.0555E-03;;-0.26030;0.03065;0.01106
-260.2000E-03,-9.5476E-03,+51.2565E-03;;-0.26020;-0.00955;0.05126
-260.1000E-03,-9.5476E-03,+51.2565E-03;;-0.26010;-0.00955;0.05126
-260.0000E-03,+30.6534E-03,+11.0555E-03;;-0.26000;0.03065;0.01106
-259.9000E-03,-9.5476E-03,+51.2565E-03;;-0.25990;-0.00955;0.05126
-259.8000E-03,-9.5476E-03,+91.4575E-03;;-0.25980;-0.00955;0.09146
