x-axis,1,3;;x-axis;1.00000;3.00000;;;;;;;;2;;;;;
second,Volt,Volt;;second;Volt;Volt;;;;Active;;Packet Start;Packet End;;Active ID;;Packet ID;Packet Length;Packet Length [ms]
-4.126620E+00,+9.548E-03,+45.729E-03;;-4.12662;0.00955;0.04573;;-0.03618;;0;;0;0;;0;;;;
-4.121620E+00,+1.508E-03,+5.528E-03;;-4.12162;0.00151;0.00553;;-0.00402;;0;;0;0;;0;;;;
-4.116620E+00,+5.528E-03,+5.528E-03;;-4.11662;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.111620E+00,+5.528E-03,+41.709E-03;;-4.11162;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;;;
-4.106620E+00,+41.709E-03,+5.528E-03;;-4.10662;0.04171;0.00553;;0.03618;;0;;0;0;;0;;;;
-4.101620E+00,+9.548E-03,+5.528E-03;;-4.10162;0.00955;0.00553;;0.00402;;0;;0;0;;0;;;;
-4.096620E+00,+5.528E-03,-30.653E-03;;-4.09662;0.00553;-0.03065;;0.03618;;0;;0;0;;0;;;;
-4.091620E+00,+5.528E-03,+5.528E-03;;-4.09162;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.086620E+00,+41.709E-03,+9.548E-03;;-4.08662;0.04171;0.00955;;0.03216;;0;;0;0;;0;;;;
-4.081620E+00,+9.548E-03,+41.709E-03;;-4.08162;0.00955;0.04171;;-0.03216;;0;;0;0;;0;;;;
-4.076620E+00,-26.633E-03,+5.528E-03;;-4.07662;-0.02663;0.00553;;-0.03216;;0;;0;0;;0;;;;
-4.071620E+00,+41.709E-03,+41.709E-03;;-4.07162;0.04171;0.04171;;0.00000;;0;;0;0;;0;;;;
-4.066620E+00,+9.548E-03,-26.633E-03;;-4.06662;0.00955;-0.02663;;0.03618;;0;;0;0;;0;;;;
-4.061620E+00,+5.528E-03,+41.709E-03;;-4.06162;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;;;
-4.056620E+00,+5.528E-03,+5.528E-03;;-4.05662;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-4.051620E+00,+9.548E-03,+5.528E-03;;-4.05162;0.00955;0.00553;;0.00402;;0;;0;0;;0;;;;
-4.046620E+00,-26.633E-03,+1.508E-03;;-4.04662;-0.02663;0.00151;;-0.02814;;0;;0;0;;0;;;;
-4.041620E+00,+5.528E-03,-26.633E-03;;-4.04162;0.00553;-0.02663;;0.03216;;0;;0;0;;0;;;;
-4.036620E+00,+45.729E-03,+5.528E-03;;-4.03662;0.04573;0.00553;;0.04020;;0;;0;0;;0;;;;
-4.031620E+00,+45.729E-03,+41.709E-03;;-4.03162;0.04573;0.04171;;0.00402;;0;;0;0;;0;;;;
-4.026620E+00,+9.548E-03,+5.528E-03;;-4.02662;0.00955;0.00553;;0.00402;;0;;0;0;;0;;;;
-4.021620E+00,+41.709E-03,+5.528E-03;;-4.02162;0.04171;0.00553;;0.03618;;0;;0;0;;0;;;;
-4.016620E+00,+1.508E-03,+45.729E-03;;-4.01662;0.00151;0.04573;;-0.04422;;0;;0;0;;0;;;;
-4.011620E+00,+37.689E-03,-30.653E-03;;-4.01162;0.03769;-0.03065;;0.06834;;0;;0;0;;0;;;;
-4.006620E+00,+41.709E-03,+9.548E-03;;-4.00662;0.04171;0.00955;;0.03216;;0;;0;0;;0;;;;
-4.001620E+00,+9.548E-03,+3.008543E+00;;-4.00162;0.00955;3.00854;;-2.99900;;0;;0;0;;0;;;;
-3.996620E+00,+41.709E-03,+3.297990E+00;;-3.99662;0.04171;3.29799;;-3.25628;;0;;0;0;;0;;;;
-3.991620E+00,+5.528E-03,+1.508E-03;;-3.99162;0.00553;0.00151;;0.00402;;0;;0;0;;0;;;;
-3.986620E+00,+9.548E-03,+41.709E-03;;-3.98662;0.00955;0.04171;;-0.03216;;0;;0;0;;0;;;;
-3.981620E+00,+5.528E-03,+45.729E-03;;-3.98162;0.00553;0.04573;;-0.04020;;0;;0;0;;0;;;;
-3.976620E+00,+1.508E-03,+41.709E-03;;-3.97662;0.00151;0.04171;;-0.04020;;0;;0;0;;0;;;;
-3.971620E+00,+9.548E-03,-26.633E-03;;-3.97162;0.00955;-0.02663;;0.03618;;0;;0;0;;0;;;;
-3.966620E+00,+9.548E-03,+9.548E-03;;-3.96662;0.00955;0.00955;;0.00000;;0;;0;0;;0;;;;
-3.961620E+00,+5.528E-03,+41.709E-03;;-3.96162;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;;;
-3.956620E+00,+41.709E-03,+41.709E-03;;-3.95662;0.04171;0.04171;;0.00000;;0;;0;0;;0;;;;
-3.951620E+00,+9.548E-03,+37.689E-03;;-3.95162;0.00955;0.03769;;-0.02814;;0;;0;0;;0;;;;
