x-axis,1,3;;x-axis;1.00000;3.00000;;;;;;;;2;
second,Volt,Volt;;second;Volt;Volt;;;;;;;;;
-500.78000E-03,+3.26180914E+00,+3.30201014E+00;;-0.50078;3.26181;3.30201;;-0.0402;;0;;0;;;
-500.74000E-03,+3.29195989E+00,+3.30201014E+00;;-0.50074;3.29196;3.30201;;-0.0101;;0;;0;;;
-500.70000E-03,+3.27185939E+00,+3.27185939E+00;;-0.50070;3.27186;3.27186;;0.0000;;0;;0;;;
-500.66000E-03,+3.29195989E+00,+3.26180914E+00;;-0.50066;3.29196;3.26181;;0.0302;;0;;0;;;
-500.62000E-03,+3.27185939E+00,+3.29195989E+00;;-0.50062;3.27186;3.29196;;-0.0201;;0;;0;;;
-500.58000E-03,+3.29195989E+00,+3.27185939E+00;;-0.50058;3.29196;3.27186;;0.0201;;0;;0;;;
-500.54000E-03,+3.30201014E+00,+3.29195989E+00;;-0.50054;3.30201;3.29196;;0.0101;;0;;0;;;
-500.50000E-03,+3.33216089E+00,+3.27185939E+00;;-0.50050;3.33216;3.27186;;0.0603;;0;;0;;;
-500.46000E-03,+3.28190964E+00,+3.26180914E+00;;-0.50046;3.28191;3.26181;;0.0201;;0;;0;;;
-500.42000E-03,+3.26180914E+00,+3.23165838E+00;;-0.50042;3.26181;3.23166;;0.0302;;0;;0;;;
-500.38000E-03,+3.32211064E+00,+3.25175889E+00;;-0.50038;3.32211;3.25176;;0.0704;;0;;0;;;
-500.34000E-03,+3.28190964E+00,+3.26180914E+00;;-0.50034;3.28191;3.26181;;0.0201;;0;;0;;;
-500.30000E-03,+3.26180914E+00,+3.29195989E+00;;-0.50030;3.26181;3.29196;;-0.0302;;0;;0;;;
-500.26000E-03,+3.29195989E+00,+3.24170863E+00;;-0.50026;3.29196;3.24171;;0.0503;;0;;0;;;
-500.22000E-03,+3.30201014E+00,+3.28190964E+00;;-0.50022;3.30201;3.28191;;0.0201;;0;;0;;;
-500.18000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50018;3.30201;3.30201;;0.0000;;0;;0;;;
-500.14000E-03,+3.30201014E+00,+3.27185939E+00;;-0.50014;3.30201;3.27186;;0.0302;;0;;0;;;
-500.10000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50010;3.30201;3.26181;;0.0402;;0;;0;;;
-500.06000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50006;3.30201;3.26181;;0.0402;;0;;0;;;
-500.02000E-03,+829.64836E-03,+3.29195989E+00;;-0.50002;0.82965;3.29196;;-2.4623;;0;;0;;;
-499.98000E-03,+5.52776E-03,+3.30201014E+00;;-0.49998;0.00553;3.30201;;-3.2965;;0;;0;;;
-499.94000E-03,+5.52776E-03,+3.27185939E+00;;-0.49994;0.00553;3.27186;;-3.2663;;0;;0;;;
-499.90000E-03,-24.62299E-03,+3.26180914E+00;;-0.49990;-0.02462;3.26181;;-3.2864;;0;;0;;;
-499.86000E-03,-4.52249E-03,+3.26180914E+00;;-0.49986;-0.00452;3.26181;;-3.2663;;0;;0;;;
-499.82000E-03,-24.62299E-03,+3.26180914E+00;;-0.49982;-0.02462;3.26181;;-3.2864;;0;;0;;;
-499.78000E-03,-4.52249E-03,+3.29195989E+00;;-0.49978;-0.00452;3.29196;;-3.2965;;0;;0;;;
-499.74000E-03,+5.52776E-03,+3.27185939E+00;;-0.49974;0.00553;3.27186;;-3.2663;;0;;0;;;
-499.70000E-03,+5.52776E-03,+3.26180914E+00;;-0.49970;0.00553;3.26181;;-3.2563;;0;;0;;;
-499.66000E-03,+35.67852E-03,+3.26180914E+00;;-0.49966;0.03568;3.26181;;-3.2261;;0;;0;;;
-499.62000E-03,+15.57802E-03,+3.29195989E+00;;-0.49962;0.01558;3.29196;;-3.2764;;0;;0;;;
-499.58000E-03,+5.52776E-03,+3.30201014E+00;;-0.49958;0.00553;3.30201;;-3.2965;;0;;0;;;
-499.54000E-03,+5.52776E-03,+3.27185939E+00;;-0.49954;0.00553;3.27186;;-3.2663;;0;;0;;;
-499.50000E-03,+5.52776E-03,+3.29195989E+00;;-0.49950;0.00553;3.29196;;-3.2864;;0;;0;;;
-499.46000E-03,-24.62299E-03,+3.30201014E+00;;-0.49946;-0.02462;3.30201;;-3.3266;;0;;0;;;
-499.42000E-03,-4.52249E-03,+3.30201014E+00;;-0.49942;-0.00452;3.30201;;-3.3065;;0;;0;;;
-499.38000E-03,+5.52776E-03,+3.27185939E+00;;-0.49938;0.00553;3.27186;;-3.2663;;0;;0;;;
-499.34000E-03,+5.52776E-03,+3.26180914E+00;;-0.49934;0.00553;3.26181;;-3.2563;;0;;0;;;
-499.30000E-03,+5.52776E-03,+3.29195989E+00;;-0.49930;0.00553;3.29196;;-3.2864;;0;;0;;;
-499.26000E-03,+5.52776E-03,+3.30201014E+00;;-0.49926;0.00553;3.30201;;-3.2965;;0;;0;;;
-499.22000E-03,+5.52776E-03,+3.30201014E+00;;-0.49922;0.00553;3.30201;;-3.2965;;0;;0;;;
-499.18000E-03,+35.67852E-03,+3.30201014E+00;;-0.49918;0.03568;3.30201;;-3.2663;;0;;0;;;
-499.14000E-03,+45.72877E-03,+3.27185939E+00;;-0.49914;0.04573;3.27186;;-3.2261;;0;;0;;;
-499.10000E-03,+15.57802E-03,+3.26180914E+00;;-0.49910;0.01558;3.26181;;-3.2462;;0;;0;;;
-499.06000E-03,+5.52776E-03,+3.26180914E+00;;-0.49906;0.00553;3.26181;;-3.2563;;0;;0;;;
-499.02000E-03,-24.62299E-03,+3.29195989E+00;;-0.49902;-0.02462;3.29196;;-3.3166;;0;;0;;;
-498.98000E-03,+25.62827E-03,+3.30201014E+00;;-0.49898;0.02563;3.30201;;-3.2764;;0;;0;;;
-498.94000E-03,+15.57802E-03,+3.27185939E+00;;-0.49894;0.01558;3.27186;;-3.2563;;0;;0;;;
-498.90000E-03,+35.67852E-03,+3.26180914E+00;;-0.49890;0.03568;3.26181;;-3.2261;;0;;0;;;
-498.86000E-03,+15.57802E-03,+3.29195989E+00;;-0.49886;0.01558;3.29196;;-3.2764;;0;;0;;;
-498.82000E-03,-24.62299E-03,+3.30201014E+00;;-0.49882;-0.02462;3.30201;;-3.3266;;0;;0;;;
-498.78000E-03,+25.62827E-03,+3.27185939E+00;;-0.49878;0.02563;3.27186;;-3.2462;;0;;0;;;
-498.74000E-03,+15.57802E-03,+3.26180914E+00;;-0.49874;0.01558;3.26181;;-3.2462;;0;;0;;;
-498.70000E-03,+35.67852E-03,+3.26180914E+00;;-0.49870;0.03568;3.26181;;-3.2261;;0;;0;;;
-498.66000E-03,+45.72877E-03,+3.26180914E+00;;-0.49866;0.04573;3.26181;;-3.2161;;0;;0;;;
-498.62000E-03,+45.72877E-03,+3.26180914E+00;;-0.49862;0.04573;3.26181;;-3.2161;;0;;0;;;
-498.58000E-03,+15.57802E-03,+3.26180914E+00;;-0.49858;0.01558;3.26181;;-3.2462;;0;;0;;;
-498.54000E-03,+35.67852E-03,+3.26180914E+00;;-0.49854;0.03568;3.26181;;-3.2261;;0;;0;;;
-498.50000E-03,+15.57802E-03,+3.29195989E+00;;-0.49850;0.01558;3.29196;;-3.2764;;0;;0;;;
-498.46000E-03,+5.52776E-03,+3.30201014E+00;;-0.49846;0.00553;3.30201;;-3.2965;;0;;0;;;
-498.42000E-03,+5.52776E-03,+3.27185939E+00;;-0.49842;0.00553;3.27186;;-3.2663;;0;;0;;;
-498.38000E-03,+5.52776E-03,+3.29195989E+00;;-0.49838;0.00553;3.29196;;-3.2864;;0;;0;;;
-498.34000E-03,+5.52776E-03,+3.27185939E+00;;-0.49834;0.00553;3.27186;;-3.2663;;0;;0;;;
-498.30000E-03,+35.67852E-03,+3.29195989E+00;;-0.49830;0.03568;3.29196;;-3.2563;;0;;0;;;
-498.26000E-03,+15.57802E-03,+3.27185939E+00;;-0.49826;0.01558;3.27186;;-3.2563;;0;;0;;;
-498.22000E-03,+35.67852E-03,+3.26180914E+00;;-0.49822;0.03568;3.26181;;-3.2261;;0;;0;;;
-498.18000E-03,+15.57802E-03,+3.26180914E+00;;-0.49818;0.01558;3.26181;;-3.2462;;0;;0;;;
-498.14000E-03,+5.52776E-03,+3.29195989E+00;;-0.49814;0.00553;3.29196;;-3.2864;;0;;0;;;
-498.10000E-03,+35.67852E-03,+3.30201014E+00;;-0.49810;0.03568;3.30201;;-3.2663;;0;;0;;;
-498.06000E-03,+45.72877E-03,+3.30201014E+00;;-0.49806;0.04573;3.30201;;-3.2563;;0;;0;;;
-498.02000E-03,+15.57802E-03,+3.30201014E+00;;-0.49802;0.01558;3.30201;;-3.2864;;0;;0;;;
-497.98000E-03,+5.52776E-03,+3.30201014E+00;;-0.49798;0.00553;3.30201;;-3.2965;;0;;0;;;
-497.94000E-03,+5.52776E-03,+3.30201014E+00;;-0.49794;0.00553;3.30201;;-3.2965;;0;;0;;;
-497.90000E-03,+5.52776E-03,+3.30201014E+00;;-0.49790;0.00553;3.30201;;-3.2965;;0;;0;;;
-497.86000E-03,+5.52776E-03,+3.30201014E+00;;-0.49786;0.00553;3.30201;;-3.2965;;0;;0;;;
-497.82000E-03,+35.67852E-03,+3.27185939E+00;;-0.49782;0.03568;3.27186;;-3.2362;;0;;0;;;
-497.78000E-03,+15.57802E-03,+3.26180914E+00;;-0.49778;0.01558;3.26181;;-3.2462;;0;;0;;;
-497.74000E-03,+35.67852E-03,+3.26180914E+00;;-0.49774;0.03568;3.26181;;-3.2261;;0;;0;;;
-497.70000E-03,-14.57274E-03,+3.29195989E+00;;-0.49770;-0.01457;3.29196;;-3.3065;;0;;0;;;
-497.66000E-03,+25.62827E-03,+3.27185939E+00;;-0.49766;0.02563;3.27186;;-3.2462;;0;;0;;;
-497.62000E-03,+15.57802E-03,+3.26180914E+00;;-0.49762;0.01558;3.26181;;-3.2462;;0;;0;;;
-497.58000E-03,+5.52776E-03,+3.26180914E+00;;-0.49758;0.00553;3.26181;;-3.2563;;0;;0;;;
-497.54000E-03,+5.52776E-03,+3.29195989E+00;;-0.49754;0.00553;3.29196;;-3.2864;;0;;0;;;
-497.50000E-03,+35.67852E-03,+3.27185939E+00;;-0.49750;0.03568;3.27186;;-3.2362;;0;;0;;;
-497.46000E-03,+45.72877E-03,+3.26180914E+00;;-0.49746;0.04573;3.26181;;-3.2161;;0;;0;;;
-497.42000E-03,+15.57802E-03,+3.26180914E+00;;-0.49742;0.01558;3.26181;;-3.2462;;0;;0;;;
