x-axis,1,3;;x-axis;1.00000;3.00000;;;;;;;;;;;;;
second,Volt,Volt;;second;Volt;Volt;;;;Active;;Packet Start;Packet End;;Active ID;;Packet ID;Packet Length;Packet Length [ms]
-1.9770000E+00,+40.7036E-03,+40.7036E-03;;-1.97700;0.04070;0.04070;;0.00000;;0;;0;0;;0;;;;
-1.9769000E+00,+45.7288E-03,+10.5529E-03;;-1.97690;0.04573;0.01055;;0.03518;;1;;1;0;;15;;;;
-1.9768000E+00,+10.5529E-03,+40.7036E-03;;-1.97680;0.01055;0.04070;;-0.03015;;0;;0;1;;0;;;;
-1.9767000E+00,+5.5278E-03,-24.6230E-03;;-1.97670;0.00553;-0.02462;;0.03015;;1;;1;0;;16;;;;
-1.9766000E+00,+40.7036E-03,+35.6785E-03;;-1.97660;0.04070;0.03568;;0.00503;;1;;0;0;;16;;;;
-1.9765000E+00,+10.5529E-03,+10.5529E-03;;-1.97650;0.01055;0.01055;;0.00000;;0;;0;1;;0;;;;
-1.9764000E+00,+5.5278E-03,+5.5278E-03;;-1.97640;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-1.9763000E+00,+5.5278E-03,+40.7036E-03;;-1.97630;0.00553;0.04070;;-0.03518;;0;;0;0;;0;;;;
-1.9762000E+00,+5.5278E-03,+10.5529E-03;;-1.97620;0.00553;0.01055;;-0.00503;;0;;0;0;;0;;;;
-1.9761000E+00,+40.7036E-03,-29.6481E-03;;-1.97610;0.04070;-0.02965;;0.07035;;1;;1;0;;17;;;;
-1.9760000E+00,+45.7288E-03,+502.6E-06;;-1.97600;0.04573;0.00050;;0.04523;;1;;0;0;;17;;;;
-1.9759000E+00,+10.5529E-03,+40.7036E-03;;-1.97590;0.01055;0.04070;;-0.03015;;0;;0;1;;0;;;;
-1.9758000E+00,+5.5278E-03,+45.7288E-03;;-1.97580;0.00553;0.04573;;-0.04020;;0;;0;0;;0;;;;
-1.9757000E+00,+5.5278E-03,+10.5529E-03;;-1.97570;0.00553;0.01055;;-0.00503;;0;;0;0;;0;;;;
-1.9756000E+00,+40.7036E-03,+5.5278E-03;;-1.97560;0.04070;0.00553;;0.03518;;1;;1;0;;18;;;;
-1.9755000E+00,+10.5529E-03,+5.5278E-03;;-1.97550;0.01055;0.00553;;0.00503;;1;;0;0;;18;;;;
-1.9754000E+00,+5.5278E-03,+5.5278E-03;;-1.97540;0.00553;0.00553;;0.00000;;0;;0;1;;0;;;;
-1.9753000E+00,+5.5278E-03,+5.5278E-03;;-1.97530;0.00553;0.00553;;0.00000;;0;;0;0;;0;;;;
-1.9752000E+00,+5.5278E-03,+40.7036E-03;;-1.97520;0.00553;0.04070;;-0.03518;;0;;0;0;;0;;;;
-1.9751000E+00,+5.5278E-03,-24.6230E-03;;-1.97510;0.00553;-0.02462;;0.03015;;1;;1;0;;19;;;;
-1.9750000E+00,+5.5278E-03,+502.6E-06;;-1.97500;0.00553;0.00050;;0.00503;;1;;0;0;;19;;;;
-1.9749000E+00,+5.5278E-03,+5.5278E-03;;-1.97490;0.00553;0.00553;;0.00000;;0;;0;1;;0;;;;
-1.9748000E+00,+5.5278E-03,+40.7036E-03;;-1.97480;0.00553;0.04070;;-0.03518;;0;;0;0;;0;;;;
-1.9747000E+00,-29.6481E-03,+45.7288E-03;;-1.97470;-0.02965;0.04573;;-0.07538;;0;;0;0;;0;;;;
-1.9746000E+00,+502.6E-06,+45.7288E-03;;-1.97460;0.00050;0.04573;;-0.04523;;0;;0;0;;0;;;;
-1.9745000E+00,+5.5278E-03,+10.5529E-03;;-1.97450;0.00553;0.01055;;-0.00503;;0;;0;0;;0;;;;
-1.9744000E+00,+40.7036E-03,+5.5278E-03;;-1.97440;0.04070;0.00553;;0.03518;;1;;1;0;;20;;;;
-1.9743000E+00,+45.7288E-03,+40.7036E-03;;-1.97430;0.04573;0.04070;;0.00503;;1;;0;0;;20;;;;
-1.9742000E+00,+45.7288E-03,-24.6230E-03;;-1.97420;0.04573;-0.02462;;0.07035;;1;;0;0;;20;;;;
-1.9741000E+00,+10.5529E-03,+502.6E-06;;-1.97410;0.01055;0.00050;;0.01005;;1;;0;0;;20;;;;
-1.9740000E+00,+5.5278E-03,+5.5278E-03;;-1.97400;0.00553;0.00553;;0.00000;;0;;0;1;;0;;;;
-1.9739000E+00,+5.5278E-03,+40.7036E-03;;-1.97390;0.00553;0.04070;;-0.03518;;0;;0;0;;0;;;;
-1.9738000E+00,+5.5278E-03,+45.7288E-03;;-1.97380;0.00553;0.04573;;-0.04020;;0;;0;0;;0;;;;
-1.9737000E+00,+5.5278E-03,+45.7288E-03;;-1.97370;0.00553;0.04573;;-0.04020;;0;;0;0;;0;;;;
-1.9736000E+00,+5.5278E-03,-24.6230E-03;;-1.97360;0.00553;-0.02462;;0.03015;;1;;1;0;;21;;;;
-1.9735000E+00,+40.7036E-03,-34.6732E-03;;-1.97350;0.04070;-0.03467;;0.07538;;1;;0;0;;21;;;;
-1.9734000E+00,+10.5529E-03,+502.6E-06;;-1.97340;0.01055;0.00050;;0.01005;;1;;0;0;;21;;;;
-1.9733000E+00,+5.5278E-03,+40.7036E-03;;-1.97330;0.00553;0.04070;;-0.03518;;0;;0;1;;0;;;;
-1.9732000E+00,+40.7036E-03,-24.6230E-03;;-1.97320;0.04070;-0.02462;;0.06533;;1;;1;0;;22;;;;
-1.9731000E+00,+45.7288E-03,+502.6E-06;;-1.97310;0.04573;0.00050;;0.04523;;1;;0;0;;22;;;;
